Unit ID,,Fuel type,,Country/Area,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
L100000301688,,oil and gas,,Romania,,,,,,,,,,,,,,,,,,,,,,
L100000309196,,oil,,Venezuela,9.1933000,-63.5812000,,,,1966,,,,,,,,,,,,,,,,
L100000308183,,oil and gas,,Canada,53.5250000,-113.6620000,,,,1950,,,,,,,,,,,,,,,,
L100000308182,,oil and gas,,Canada,53.5300000,-113.7520000,,,,1950,,,,,,,,,,,,,,,,
L100000312123,,oil and gas,,Russia,60.0700000,75.3400000,,,,1981,,,,,,,,,,,,,,,,
L100000301865,,oil and gas,,United Kingdom,56.7720000,1.6820000,,,,2018,,,,,,,,,,,,,,,,
L100000302769,,oil and gas,,Colombia,7.9070000,-73.5660000,,,,2013,,,,,,,,,,,,,,,,
L100000317993,,oil and gas,,Vietnam,8.1194000,103.2243000,,,,2002,,,,,,,,,,,,,,,,
L100000320850,,oil and gas,,Mexico,18.0237000,-94.2227000,,,,,,,,,,,,,,,,,,,,
L100000302770,,oil,,Colombia,5.0670000,-71.1030000,,,,,,,,,,,,,,,,,,,,
L100000321080,,oil and gas,,Uzbekistan,38.7366000,67.5986000,,,,,,,,,,,,,,,,,,,,
L100000310950,,oil and gas,,Nigeria,,,,,,1980,,,,,,,,,,,,,,,,
L100000310951,,oil and gas,,Nigeria,4.8765000,7.2907000,,,,,,,,,,,,,,,,,,,,
L100000320427,,oil and gas,,Venezuela,8.9193000,-63.3366000,,,,1954,,,,,,,,,,,,,,,,
L100000316378,,oil and gas,,United States,32.5138000,-93.1434000,,,,1944,,,,,,,,,,,,,,,,
L100000304886,,oil and gas,,Denmark,55.8063000,4.8633000,,,,1977,,,,,,,,,,,,,,,,
L100000308185,,oil and gas,,Canada,49.0760000,-111.1700000,,,,1944,,,,,,,,,,,,,,,,
L100000313008,,oil and gas,,Pakistan,33.1537000,73.1768000,,,,1978,,,,,,,,,,,,,,,,
L100000320454,,oil and gas,,Venezuela,,,,,,1954,,,,,,,,,,,,,,,,
L100000310955,,oil,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000311685,,gas,,Canada,58.1600000,-122.7400000,,,,1972,,,,,,,,,,,,,,,,
L100000310956,,oil and gas,,Nigeria,,,,,,1967,,,,,,,,,,,,,,,,
L100000304561,,oil and gas,,Norway,65.9373000,7.7125000,,,,2012,,,,,,,,,,,,,,,,
L100000304509,,oil and gas,,Norway,65.7163000,7.5526000,,,,2000,,,,,,,,,,,,,,,,
L100000308186,,oil and gas,,Canada,51.4770000,-112.4670000,,,,1904,,,,,,,,,,,,,,,,
L100000321386,,oil,,China,46.1550590,116.5494320,,,,,,,,,,,,,,,,,,,,
L100000321385,,oil,,China,44.5755090,115.6675330,,,,1981,,,,,,,,,,,,,,,,
L100000310957,,oil,,Nigeria,4.8010000,7.3210000,,,,,,,,,,,,,,,,,,,,
L100000310960,,oil,,Nigeria,5.5453000,6.0273000,,,,1961,,,,,,,,,,,,,,,,
L100000313078,,oil,,Ghana,4.3510864,-1.9632776,,,,2019,,,,,,,,,,,,,,,,
L100000310964,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000312124,,oil and gas,,Russia,61.4339000,76.0989000,,,,1965,,,,,,,,,,,,,,,,
L100000302771,,oil and gas,,Colombia,0.8446000,-76.5713000,,,,,,,,,,,,,,,,,,,,
L100000302557,,oil and gas,,Mexico,17.7269000,-92.8905000,,,,1976,,,,,,,,,,,,,,,,
L100000302772,,oil,,Colombia,5.3550000,-71.2670000,,,,,,,,,,,,,,,,,,,,
L100000310965,,oil and gas,,Nigeria,4.9370000,6.9750000,,,,1960,,,,,,,,,,,,,,,,
L100000310967,,oil and gas,,Nigeria,3.9280000,6.3860000,,,,1981,,,,,,,,,,,,,,,,
L100000312187,,oil,,Iran,30.8312000,49.7596000,,,,1936,,,,,,,,,,,,,,,,
L100000312182,,gas,,Iran,28.5949000,52.7953000,,,,1974,,,,,,,,,,,,,,,,
L100000312753,,oil,,Angola,-6.0646000,10.9542000,,,,2019,,,,,,,,,,,,,,,,
L100000317198,,oil and gas,,Argentina,-38.8170000,-68.9530000,,,,1963,,,,,,,,,,,,,,,,
L100000317199,,oil and gas,,Argentina,-38.0760000,-68.4650000,,,,,,,,,,,,,,,,,,,,
L100000317200,,oil and gas,,Argentina,-38.2640000,-69.5670000,,,,,,,,,,,,,,,,,,,,
L100000317201,,oil and gas,,Argentina,-38.2200000,-69.1530000,,,,,,,,,,,,,,,,,,,,
L100000317203,,oil and gas,,Argentina,-37.4950000,-68.9770000,,,,,,,,,,,,,,,,,,,,
L100000317202,,oil and gas,,Argentina,-38.4620000,-67.7790000,,,,,,,,,,,,,,,,,,,,
L100000317204,,oil and gas,,Argentina,-38.0890000,-68.7230000,,,,,,,,,,,,,,,,,,,,
L100000317205,,oil and gas,,Argentina,-37.7280000,-69.3690000,,,,,,,,,,,,,,,,,,,,
L100000317206,,oil and gas,,Argentina,-38.3890000,-69.1660000,,,,,,,,,,,,,,,,,,,,
L100000317207,,oil and gas,,Argentina,-38.3450000,-69.2130000,,,,,,,,,,,,,,,,,,,,
L100000317208,,oil and gas,,Argentina,-38.3800000,-69.4080000,,,,,,,,,,,,,,,,,,,,
L100000317209,,oil and gas,,Argentina,-37.9550000,-69.0030000,,,,,,,,,,,,,,,,,,,,
L100000317210,,oil and gas,,Argentina,-38.7520000,-68.8190000,,,,,,,,,,,,,,,,,,,,
L100000302374,,oil and gas,,Mexico,20.5375000,-97.6546000,,,,1969,,,,,,,,,,,,,,,,
L100000300470,,oil and gas,,Brazil,-12.3710000,-38.3440000,,,,1951,,,,,,,,,,,,,,,,
L100000302520,,oil and gas,,Mexico,20.8634000,-97.6814000,,,,1948,,,,,,,,,,,,,,,,
L100000304595,,oil and gas,,Ecuador,-0.1533000,-76.6622000,,,,1969,,,,,,,,,,,,,,,,
